Região - Sigla;Estado - Sigla;Município;Revenda;Instalação - Código;Produto;Data da Coleta;Valor de Compra;Valor de Venda;Unidade de Medida;Bandeira
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO CANAA RIO PRETO LTDA;35702;DIESEL;03/01/2018;;3.397;R$ / litro;IPIRANGA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO DO IPE - RIO PRETO LTDA;35604;DIESEL;03/01/2018;2.832;3.099;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO H. P. RIO PRETO EIRELI;35648;DIESEL;03/01/2018;;3.379;R$ / litro;IPIRANGA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ITAIPU BASSITT LTDA;35666;DIESEL;03/01/2018;;3.249;R$ / litro;RAIZEN
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ITAMARATI - MITOCONDRIA LTDA.;35614;DIESEL;03/01/2018;2.83;3.239;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO NARANJÃO LTDA.;186703;DIESEL;03/01/2018;;3.19;R$ / litro;IPIRANGA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO PORCINO LTDA;35715;DIESEL;03/01/2018;3.031;3.279;R$ / litro;RAIZEN
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO POTI LTDA;35717;DIESEL;03/01/2018;2.9905;3.37;R$ / litro;IPIRANGA
SE;SP;SAO JOSE DO RIO PRETO;FORTUNATO & ZAFANI LTDA;35655;DIESEL;03/01/2018;;3.159;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;POSTO ITAMARATI - JAYA LTDA;35751;DIESEL;03/01/2018;2.81;3.149;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;POSTO ITAMARATI - YANTRA LTDA;35635;DIESEL;03/01/2018;2.74;3.199;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;POSTO JACARANDA - RIO PRETO LTDA;35662;DIESEL;03/01/2018;;3.099;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;VITORIA COMERCIO DE DERIVADOS DE PETROLEO LTDA.;35701;DIESEL;03/01/2018;;3.299;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;A P PALACE LTDA;35728;DIESEL;10/01/2018;;3.099;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO BEIRA DO RIO - RIO PRETO LTDA.;202301;DIESEL;10/01/2018;;3.259;R$ / litro;IPIRANGA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO DORADAO RIO PRETO LTDA;35632;DIESEL;10/01/2018;;3.149;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ELDORADO RIO PRETO LTDA;35684;DIESEL;10/01/2018;;3.159;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO FORTUNATO LTDA;35637;DIESEL;10/01/2018;;3.159;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ITAMARATI ABUNDÂNCIA LTDA;35742;DIESEL;10/01/2018;2.87;3.159;R$ / litro;ALE COMBUSTÍVEIS
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO PRIMAVERA MURCHID LTDA.;35609;DIESEL;10/01/2018;;3.377;R$ / litro;RAIZEN
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO RIO PIEDADE LTDA;35621;DIESEL;10/01/2018;;3.159;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ZAFANI RIO PRETO LTDA;35757;DIESEL;10/01/2018;;3.288;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;ECO POSTO AEROPORTO - EIRELI;35642;DIESEL;10/01/2018;;3.399;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;POSTO ITAMARATI MATEC LTDA;35631;DIESEL;10/01/2018;;3.159;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;POSTO ITAMARATI VISAO FUTURO LTDA;35677;DIESEL;10/01/2018;;3.159;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;POSTO SAO DOMINGOS RIO PRETO LTDA;35659;DIESEL;10/01/2018;;3.199;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;R PORCINI & CIA LTDA;35694;DIESEL;10/01/2018;;3.199;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;A P PALACE LTDA;35728;DIESEL;17/01/2018;;3.099;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO DORADAO RIO PRETO LTDA;35632;DIESEL;17/01/2018;;3.249;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ELDORADO RIO PRETO LTDA;35684;DIESEL;17/01/2018;;3.159;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO FORTUNATO LTDA;35637;DIESEL;17/01/2018;;3.159;R$ / litro;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ITAMARATI ABUNDÂNCIA LTDA;35742;DIESEL;17/01/2018;;3.159;R$ / litro;ALE COMBUSTÍVEIS
